1=1	10	110	1089	605	1089	1331	
4=1	11	121	1198	665	1197	1463	
8=0	1	10	100	55	99	121	
11=1	10	110	1090	606	1090	1332	
14=0	0	1	10	5	9	11	
17=1	11	121	1198	666	1198	1464	
21=0	1	10	100	56	100	122	
24=1	10	110	1090	607	1091	1334	
27=0	0	1	10	6	10	12	
30=1	11	121	1198	667	1199	1466	
34=0	1	10	100	57	101	124	
37=1	10	110	1090	606	1091	1334	
40=0	0	1	10	7	11	14	
43=1	11	121	1198	666	1199	1466	
47=0	1	10	100	56	101	124	
50=1	10	110	1090	606	1091	1332	
53=0	0	1	10	6	11	14	
56=1	11	121	1198	666	1199	1464	
60=0	1	10	100	56	101	122	
63=1	10	110	1090	605	1090	1332	
66=0	0	1	10	6	11	12	
69=1	11	121	1198	665	1198	1464	
73=0	1	10	100	55	100	122	
76=1	10	110	1090	605	1090	1332	
79=0	0	1	10	5	10	12	
82=1	11	121	1198	665	1198	1464	
86=0	1	10	100	55	100	122	
89=1	10	110	1090	605	1089	1332	
92=0	0	1	10	5	10	12	
95=1	11	121	1198	665	1197	1464	
99=0	1	10	100	55	99	122	
102=1	10	110	1090	605	1089	1331	
105=0	0	1	10	5	9	12	
108=1	11	121	1198	665	1197	1463	
112=0	1	10	100	55	99	121	
115=0	0	1	10	5	9	11	
118=1	10	110	1089	605	1089	1331	
119=0	1	11	108	60	108	132	
122=1	10	110	1089	605	1089	1331	
123=0	1	11	108	60	108	132	
126=1	10	110	1089	605	1089	1331	
127=0	1	11	108	60	108	132	
130=1	10	110	1089	605	1089	1331	
131=0	1	11	108	60	108	132	
134=1	10	110	1089	605	1089	1331	
135=0	1	11	108	60	108	132	
138=1	10	110	1089	605	1089	1331	
139=0	1	11	108	60	108	132	
142=1	10	110	1089	605	1089	1331	
143=0	1	11	108	60	108	132	
146=1	10	110	1089	605	1089	1331	
147=0	1	11	108	60	108	132	
150=1	10	110	1089	605	1089	1331	
151=0	1	11	108	60	108	132	
154=1	10	110	1089	605	1089	1331	
157=0	1	10	99	55	99	121	
158=0	0	1	9	5	9	11	
159=1	10	110	1089	605	1089	1331	
162=1	10	110	1089	605	1089	1331	
165=1	10	110	1089	605	1089	1331	
168=1	10	110	1089	605	1089	1331	
171=1	10	110	1089	605	1089	1331	
174=1	10	110	1089	605	1089	1331	
177=1	10	110	1089	605	1089	1331	
180=1	10	110	1089	605	1089	1331	
183=0	1	10	99	55	99	121	
184=0	0	1	9	5	9	11	
185=0	1	10	99	55	99	121	
186=0	0	1	9	5	9	11	
187=0	1	10	99	55	99	121	
188=0	0	1	9	5	9	11	
189=0	1	10	99	55	99	121	
190=0	0	1	9	5	9	11	
191=0	1	10	99	55	99	121	
192=0	0	1	9	5	9	11	
193=0	1	10	99	55	99	121	
194=0	0	1	9	5	9	11	
195=0	1	10	99	55	99	121	
196=0	0	1	9	5	9	11	
197=0	1	10	99	55	99	121	
198=0	0	1	9	5	9	11	
199=1	9	99	981	545	981	1199	
203=0	9	99	972	540	972	1188	
213=0	0	0	9	5	9	11	
223=0	0	0	0	0	0	0	
224=0	1	11	108	60	108	132	
227=0	1	11	108	60	108	132	
230=0	1	11	108	60	108	132	
233=0	1	11	108	60	108	132	
236=0	1	11	108	60	108	132	
239=0	1	11	108	60	108	132	
242=0	0	0	1	0	0	0	
243=0	1	11	108	60	108	132	
246=0	0	0	1	1	1	1	
247=0	1	11	108	60	108	132	
250=0	0	0	1	2	2	3	
251=0	1	11	108	60	108	132	
254=0	0	0	1	1	2	3	
255=0	0	0	1	1	2	1	
256=0	0	0	1	0	1	1	
257=0	0	0	1	0	1	1	
258=0	0	0	1	0	0	1	
259=0	0	0	1	0	0	0	
260=0	1	10	99	55	99	121	
263=0	0	1	9	5	9	11	
264=0	1	10	99	55	99	121	
